,orf,hits_count,read_count,hits_count_pro,reads_count_pro,orf_len,NI_index,HFI_normalized,label
191,YBL047C,53,416,7,29,4145,1,0.2371531966224367,
192,YBL046W,31,550,7,28,1325,10,0.5049056603773585,
193,YBL045C,9,32,2,6,1373,22,0.2891478514202476,
194,YBL044W,77,6156,5,426,368,3,0.1358695652173913,
195,YBL043W,19,309,7,49,773,28,0.12419146183699872,
196,YBL042C,51,571,2,60,1919,28,0.10109431995831164,
197,YBL041W,4,18,0,0,725,33,0.5296551724137931,ess
198,YBL040C,6,27,0,0,756,33,0.4708994708994709,
199,YBL039W-B,0,0,1,25,179,33,1.0,
200,YBL039C,14,96,0,0,1739,14,0.39907993099482464,
201,YBL039C-A,0,0,0,0,83,14,1.0,
202,YBL038W,2,11,0,0,698,14,0.669054441260745,
203,YBL037W,63,556,0,0,3077,27,0.1647708807279818,
204,YBL036C,15,380,14,1206,773,27,0.18758085381630013,
205,YBL035C,18,79,0,0,2117,4,0.211620217288616,ess
206,YBL034C,23,141,0,0,4541,20,0.4600308302136094,ess
207,YBL033C,12,57,0,0,1037,5,0.18225650916104147,
208,YBL032W,40,432,5,35,1145,6,0.1423580786026201,
209,YBL031W,29,161,3,20,1016,8,0.1781496062992126,
210,YBL030C,19,110,1,6,956,8,0.15585774058577406,
211,YBL029C-A,21,837,9,135,284,7,0.2007042253521127,
212,YBL029W,34,681,5,46,1130,10,0.2646017699115044,
213,YBL028C,4,89,8,673,320,2,0.503125,
214,YBL027W,0,0,0,0,953,2,1.0,
215,YBL026W,0,0,0,0,415,2,1.0,ess
216,YBL025W,1,1,0,0,437,18,0.8901601830663616,
217,YBL024W,16,118,2,15,2054,12,0.15335929892891914,
218,YBL023C,16,63,0,0,2606,16,0.2498081350729087,ess
219,YBL022C,23,90,1,4,3401,16,0.2578653337253749,
220,YBL021C,12,158,5,183,434,59,0.19815668202764974,
221,YBL020W,15,97,0,0,1724,122,0.24651972157772625,ess
222,YBL019W,32,406,3,166,1562,17,0.147247119078105,
223,YBL018C,3,12,1,1,476,76,0.4957983193277311,
224,YBL017C,103,1020,4,111,4739,181,0.0700569740451572,
225,YBL016W,65,1568,6,166,1061,15,0.10367577756833177,
226,YBL015W,124,3006,12,184,1580,15,0.05316455696202532,
227,YBL014C,30,213,0,0,2684,0,0.19150521609538004,
228,YBL013W,122,2559,13,1204,1205,13,0.15767634854771784,
229,YBL012C,15,144,0,0,401,13,0.30673316708229426,
230,YBL011W,29,212,4,48,2279,13,0.1390960947784116,
231,YBL010C,14,109,13,111,842,14,0.3408551068883611,
