orf,label_FY,predictions_CCD,predictions_CPG,predictions_CNT,predictions_Sigma,predictions_CHM
YKL021C,ess,,ess,ess,,ess
YKL018W,ess,,ess,ess,ess,
YKL014C,ess,ess,ess,ess,ess,ess
YKL012W,ess,ess,ess,ess,ess,ess
YKR002W,ess,ess,ess,ess,ess,ess
YKR008W,ess,ess,ess,ess,ess,ess
YKR022C,ess,ess,ess,ess,ess,ess
YKR025W,ess,ess,ess,,ess,
YKR062W,ess,ess,ess,ess,ess,ess
YKR063C,ess,ess,ess,ess,,ess
YKR068C,ess,,,,,
YKR081C,ess,ess,ess,ess,ess,ess
YKR086W,ess,,ess,ess,,ess
YLL050C,ess,,,,,
YLL036C,ess,ess,,ess,,ess
YLL035W,ess,,,ess,ess,ess
YLL034C,ess,ess,,ess,,ess
YLL011W,ess,,,,,
YLL008W,ess,ess,,ess,ess,ess
YLL004W,ess,,ess,ess,ess,
YLL003W,ess,ess,,ess,ess,ess
YLR002C,ess,ess,ess,ess,ess,ess
YLR005W,ess,,,ess,ess,
YLR009W,ess,ess,,,,
YLR026C,ess,ess,ess,ess,ess,ess
YLR033W,ess,ess,,ess,ess,ess
YLR045C,ess,,,,,ess
YLR066W,ess,,,,,
YLR075W,ess,ess,,ess,ess,ess
YLR086W,ess,ess,,ess,ess,ess
YLR088W,ess,,,ess,ess,ess
YLR100W,ess,ess,,ess,ess,ess
YLR105C,ess,ess,,ess,ess,ess
YLR106C,ess,,,ess,ess,ess
YLR115W,ess,ess,ess,ess,,ess
YLR129W,ess,ess,,ess,ess,ess
YLR132C,ess,ess,,ess,,ess
YLR141W,ess,,,,,ess
YLR153C,ess,,,,,
YLR166C,ess,ess,,ess,ess,ess
YLR175W,ess,ess,,ess,ess,ess
YLR186W,ess,,,ess,ess,
YLR196W,ess,,,,,ess
YLR197W,ess,ess,,ess,ess,ess
YLR208W,ess,ess,,ess,ess,ess
YLR212C,ess,ess,,ess,ess,ess
YLR215C,ess,ess,,ess,ess,
YLR222C,ess,,,ess,ess,ess
YLR229C,ess,,,,ess,
YLR243W,ess,,,ess,,ess
YLR249W,ess,ess,,ess,ess,ess
YLR259C,ess,,,ess,ess,ess
YLR272C,ess,,,ess,,ess
YLR276C,ess,ess,ess,ess,ess,ess
YLR277C,ess,ess,,ess,,ess
YLR291C,ess,,,ess,,ess
YLR310C,ess,ess,,ess,ess,
YLR321C,ess,ess,,ess,,ess
YLR323C,ess,,,ess,ess,ess
YLR340W,ess,ess,,ess,ess,ess
YLR359W,ess,ess,,ess,ess,ess
YLR378C,ess,,,,,
YLR397C,ess,,,ess,ess,ess
YLR424W,ess,,,,,
YLR430W,ess,,,ess,ess,ess
YLR440C,ess,ess,,ess,ess,ess
YLR459W,ess,,,ess,ess,ess
YML130C,ess,ess,ess,ess,ess,
YML127W,ess,,ess,,,
YML105C,ess,,ess,ess,ess,ess
YML092C,ess,ess,ess,ess,ess,ess
YML085C,ess,ess,ess,ess,ess,ess
YML065W,ess,ess,ess,ess,ess,
YML064C,ess,,ess,,,
YML046W,ess,ess,ess,ess,ess,
YML043C,ess,ess,ess,ess,ess,
YML023C,ess,,,ess,,ess
YML015C,ess,ess,ess,ess,ess,ess
YML010W,ess,,ess,ess,ess,
YMR001C,ess,,ess,ess,,
YMR005W,ess,ess,ess,ess,ess,ess
YMR013C,ess,ess,ess,ess,ess,ess
YMR028W,ess,,,ess,ess,ess
YMR033W,ess,ess,ess,ess,ess,ess
YMR076C,ess,,ess,ess,,ess
YMR079W,ess,,ess,ess,ess,ess
YMR094W,ess,ess,ess,ess,ess,ess
YMR113W,ess,,ess,ess,ess,ess
YMR131C,ess,,,,,
YMR146C,ess,ess,ess,ess,ess,ess
YMR168C,ess,,ess,ess,ess,ess
YMR203W,ess,ess,ess,ess,ess,ess
YMR211W,ess,ess,ess,ess,ess,ess
YMR218C,ess,ess,,,ess,
YMR220W,ess,,ess,ess,ess,ess
