hits_count,reads_count,hits_count_pro,ratio_hits_prom,insertion_index,NI,NI_ratio,HFI,HFI_ratio,orf,label
0.12,0.04,3,0.75,0.005134788189987164,0.0951052073449796,1.860869565217391,0.6508344030808729,1.2327416173570018,YAL009W,non_ess
0.12,0.04,5,2.5,0.018456375838926176,0.344435878831852,0.6936936936936938,0.22483221476510068,1.037313432835821,YAL008W,non_ess
0.12,0.04,5,2.5,0.012364760432766615,0.2311385883565173,0.9422222222222224,0.4327666151468315,0.6178571428571429,YAL007C,non_ess
0.12,0.04,3,0.75,0.01970954356846473,0.3629766620979704,1.2650290885585005,0.3329875518672199,1.1121495327102804,YAL005C,non_ess
0.12,0.04,0,1.0,0.017001545595054096,0.304013419574119,1.09478672985782,1.0,1.0,YAL004W,non_ess
0.0,0.0,1,0.16666666666666666,0.0,0.0,0.0,1.0,0.6166328600405679,YAL003W,ess
0.12,0.04,2,0.3333333333333333,0.01830543933054393,0.34327550009610125,1.2021201413427562,0.2214958158995816,0.5171192443919717,YAL002W,non_ess
0.12,0.04,9,1.0,0.025,1.1,0.9021904142268488,0.09450277949351453,1.03921568627451,YAR002W,non_ess
0.12,0.04,14,2.0,0.025,1.1,0.8457711442786071,0.22458270106221548,1.0,YAR002C-A,non_ess
0.12,0.04,3,0.75,0.025,1.1,0.8066037735849056,0.20390625,0.7088122605363985,YAR003W,non_ess
0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.2675603217158177,YAR007C,ess
0.12,0.04,5,0.5,0.007984969469234382,0.5291163757843794,0.6276083467094703,0.6026303428839831,0.2275915822291505,YAR014C,non_ess
0.12,0.04,0,0.0,0.004590665646518746,0.31221283562800545,0.6977547495682211,0.3175210405508799,1.0987951807228915,YAR018C,non_ess
0.12,0.04,0,0.0,0.008891928864569083,0.535573689209613,1.0722950024260072,0.21819425444596444,0.8636363636363635,YAR019C,ess
0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.6445783132530121,YAR019W-A,non_ess
