forest_12_6_12_1253_91.0,0.9087332808811959,0.73939394,[0.62564103 0.96003717],[0.67777778 0.94683776],1946
forest_12_5_15_1126_92.0,0.918174665617624,0.73863636,[0.69148936 0.95752539],[0.71428571 0.95224977],902
forest_27_4_17_1378_91.0,0.911093627065303,0.73714286,[0.65816327 0.9572093 ],[0.69541779 0.94795025],1591
forest_25_7_5_1185_91.0,0.911093627065303,0.73626374,[0.67336683 0.95522388],[0.70341207 0.94770939],1790
forest_17_6_16_1168_91.0,0.912667191188041,0.73529412,[0.65445026 0.95833333],[0.69252078 0.94910591],1923
forest_11_7_15_1409_91.0,0.9134539732494099,0.73417722,[0.63043478 0.96136155],[0.67836257 0.95      ],941
forest_14_5_16_1148_92.0,0.9189614476789929,0.73333333,[0.67222222 0.95967003],[0.70144928 0.95311789],1859
forest_25_8_17_1491_91.0,0.9118804091266719,0.73099415,[0.65445026 0.95740741],[0.69060773 0.94862385],1176
forest_14_9_11_1091_93.0,0.925255704169945,0.73076923,[0.68263473 0.96195652],[0.70588235 0.95718792],1845
forest_13_7_19_1073_91.0,0.9134539732494099,0.73053892,[0.65240642 0.95848708],[0.68926554 0.94972578],1075
forest_11_7_11_1359_91.0,0.9118804091266719,0.73053892,[0.64550265 0.95841035],[0.68539326 0.94876487],1934
forest_24_6_7_1493_91.0,0.9118804091266719,0.73015873,[0.69346734 0.95242537],[0.71134021 0.94800371],809
forest_23_8_9_1335_91.0,0.9103068450039339,0.72941176,[0.64583333 0.95736793],[0.68508287 0.94770642],436
forest_27_5_5_1469_92.0,0.9205350118017309,0.72941176,[0.69273743 0.95787546],[0.71060172 0.95394437],537
forest_17_5_5_1130_91.0,0.9095200629425649,0.72674419,[0.64766839 0.95640074],[0.68493151 0.94717501],759
forest_14_7_17_1104_92.0,0.919748229740362,0.72588832,[0.7486911 0.95     ],[0.7371134  0.95264624],361
forest_24_9_16_1352_92.0,0.919748229740362,0.72392638,[0.67428571 0.95894161],[0.69822485 0.95372051],193
forest_16_9_12_1155_91.0,0.9142407553107789,0.72375691,[0.68947368 0.95374653],[0.70619946 0.94979272],918
forest_21_6_15_1311_90.0,0.9016522423288749,0.72151899,[0.58461538 0.95910781],[0.64589235 0.9428963 ],610
forest_23_9_7_1214_91.0,0.911093627065303,0.72131148,[0.68041237 0.95264624],[0.70026525 0.947806  ],1813
forest_17_7_18_1017_92.0,0.9221085759244689,0.72121212,[0.69186047 0.95814377],[0.70623145 0.95510204],1474
forest_12_4_12_1426_91.0,0.90558615263572,0.72105263,[0.67156863 0.95032802],[0.69543147 0.94413408],1564
forest_14_4_10_1317_91.0,0.9063729346970889,0.71794872,[0.59893048 0.95940959],[0.65306122 0.94588449],1457
forest_20_7_14_1377_91.0,0.9095200629425649,0.71597633,[0.64361702 0.95567867],[0.67787115 0.94736842],496
forest_17_8_15_1100_91.0,0.9103068450039339,0.71505376,[0.68556701 0.95078923],[0.7        0.94727105],1414
forest_26_5_19_1108_91.0,0.9103068450039339,0.71176471,[0.65053763 0.95483871],[0.67977528 0.94784995],1524
forest_12_8_10_1090_92.0,0.9213217938630999,0.71165644,[0.68639053 0.95735027],[0.69879518 0.95475113],279
forest_19_4_15_1365_91.0,0.90558615263572,0.71122995,[0.66834171 0.94962687],[0.68911917 0.94434137],1906
forest_20_8_14_1086_90.0,0.9024390243902439,0.71069182,[0.59162304 0.95740741],[0.64571429 0.94343066],1287
forest_17_5_18_1443_91.0,0.911093627065303,0.70860927,[0.60795455 0.95981735],[0.65443425 0.9489842 ],994
forest_24_4_10_1378_91.0,0.9118804091266719,0.70414201,[0.65745856 0.95412844],[0.68       0.94890511],686
forest_17_8_18_1071_92.0,0.9205350118017309,0.70285714,[0.71511628 0.95268426],[0.70893372 0.95398633],1629
forest_25_8_11_1175_92.0,0.9150275373721479,0.7,[0.65116279 0.95632393],[0.6746988  0.95113122],1222
forest_18_9_11_1364_91.0,0.9079464988198269,0.69948187,[0.69587629 0.9461467 ],[0.69767442 0.94570766],1443
forest_24_5_13_1125_90.0,0.9032258064516129,0.69897959,[0.68159204 0.94485981],[0.69017632 0.94265734],317
forest_16_5_17_1335_91.0,0.912667191188041,0.6984127,[0.70967742 0.94746544],[0.704      0.94877711],476
forest_15_7_14_1249_91.0,0.911093627065303,0.69832402,[0.67934783 0.95032199],[0.68870523 0.94814135],143
forest_20_9_18_1406_91.0,0.9087332808811959,0.69753086,[0.62777778 0.95508708],[0.66081871 0.94727273],1046
forest_25_4_18_1361_91.0,0.911093627065303,0.69590643,[0.66111111 0.95233731],[0.67806268 0.94842538],966
