hits_count,reads_count,hits_count_pro,ratio_hits_prom,insertion_index,NI,NI_ratio,HFI,HFI_ratio,orf,label
0.12,0.04,0,0.0,0.010554089709762531,0.4530414319332525,0.9609609609609608,0.15699208443271767,5.0,YBL106C,non_ess
0.12,0.04,0,1.0,0.004630969609261939,0.1982817051054241,0.6172393007836046,0.2865412445730825,0.4494949494949495,YBL105C,ess
0.12,0.04,8,0.8888888888888888,0.01508344030808729,0.4395111703217873,0.533810399159664,0.1527599486521181,0.4390756302521009,YBL104C,non_ess
0.12,0.04,1,2.0,0.0027397260273972607,0.0952181633688483,0.14814814814814814,0.4376712328767123,0.5070422535211268,YBL103C,non_ess
0.12,0.04,1,0.5,0.013910355486862442,0.5655324907744984,0.6889952153110047,0.5285935085007728,0.5614035087719298,YBL102W,non_ess
0.12,0.04,2,0.5,0.018789144050104383,0.8366695321134716,0.9687108886107634,0.18938264240978228,0.5590551181102362,YBL101C,non_ess
0.12,0.04,5,0.625,0.025,1.1,0.4009090909090909,0.4621848739495799,0.7818181818181817,YBL100W-C,non_ess
0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.6464968152866242,YBL100C,non_ess
0.12,0.04,0,1.0,0.004886988393402566,0.2462996263059932,0.4238765928906774,0.4459376908979841,0.6383561643835617,YBL099W,non_ess
0.12,0.04,2,2.0,0.025,1.1,1.8412698412698407,0.16208393632416787,0.8928571428571428,YBL098W,non_ess
0.12,0.04,0,1.0,0.00530035335689046,0.4369791319421295,0.3329633740288569,0.6409010600706714,0.23018607856650586,YBL097W,ess
0.12,0.04,2,2.0,0.025,1.1,1.8951310861423225,0.3246753246753247,1.3199999999999998,YBL096C,non_ess
0.12,0.04,10,1.4285714285714286,0.024630541871921183,1.1,1.7424242424242424,0.29310344827586204,1.1092436974789917,YBL095W,non_ess
0.12,0.04,2,2.0,0.006024096385542169,0.401952638138762,0.6896551724137931,1.0,1.0,YBL094C,non_ess
0.12,0.04,1,2.0,0.006042296072507553,0.3690662221759211,0.3719958202716823,0.6842900302114804,0.3863134657836645,YBL093C,non_ess
0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.5558620689655173,YBL092W,ess
0.12,0.04,5,0.8333333333333334,0.025,1.1,1.4129032258064518,0.216260162601626,1.1203007518796992,YBL091C-A,non_ess
0.12,0.04,1,0.3333333333333333,0.014229249011857709,0.6801054018445323,0.8695652173913043,0.2727272727272727,0.5304347826086957,YBL091C,non_ess
0.12,0.04,0,0.0,0.01125703564727955,0.5099020220971441,2.0,0.4240150093808631,1.606194690265487,YBL090W,non_ess
0.12,0.04,2,0.4,0.0065264684554024645,0.29263842429062664,0.8973607038123167,0.4365482233502538,0.7425249169435216,YBL089W,non_ess
0.12,0.04,1,1.0,0.012077005859141456,0.4568258738023073,1.2320048309178744,0.11670453186655505,1.2018442622950818,YBL088C,non_ess
0.12,0.04,0,0.0,0.004362050163576881,0.13569769095822865,0.1867007672634272,0.5834242093784079,0.33271028037383177,YBL087C,non_ess
0.12,0.04,0,0.0,0.002142857142857143,0.06530172413793102,0.5017241379310344,0.5635714285714286,0.8808618504435994,YBL086C,non_ess
0.12,0.04,0,0.0,0.005438477226376614,0.18115308665954485,1.2698412698412698,0.24031271244051666,0.6577086280056577,YBL085W,non_ess
0.12,0.04,0,0.0,0.002636203866432337,0.08781069545568668,0.3174603174603175,0.6379613356766256,0.32506887052341604,YBL084C,ess
0.12,0.04,1,0.5,0.004705882352941176,0.16478366553232862,0.3333333333333333,0.6070588235294118,0.4573643410852713,YBL083C,non_ess
0.12,0.04,3,0.6,0.010901162790697676,0.4048375375093773,0.5443548387096774,0.4600290697674418,0.7045813586097947,YBL082C,non_ess
0.12,0.04,1,0.5,0.0108499095840868,0.3979277650163726,0.8725868725868726,0.1871609403254973,1.1304347826086956,YBL081W,non_ess
0.12,0.04,0,0.0,0.0043076923076923075,0.15463407620416966,0.35981308411214946,0.43138461538461537,0.3609129814550642,YBL080C,non_ess
0.12,0.04,0,0.0,0.003771073646850044,0.13005450627455953,0.4725274725274726,0.22914818101153506,0.6398838334946757,YBL079W,non_ess
0.12,0.04,1,2.0,0.0028328611898017,0.09535613112100363,0.1907122622420073,0.9915014164305948,1.0085714285714291,YBL078C,non_ess
0.12,0.04,0,0.0,0.0018645121193287765,0.06614507107199423,0.22858731924360398,0.4748290863890615,0.40641361256544506,YBL076C,ess
0.12,0.04,3,0.75,0.010261672652642379,0.3530015392508979,0.7365591397849462,0.2519240636223705,0.6761710794297352,YBL075C,non_ess
0.12,0.04,1,0.125,0.008434864104967198,0.2682853835067298,0.4816452896948253,0.4723523898781631,0.36706349206349204,YBL074C,ess
0.12,0.04,0,1.0,0.0010905125408942203,0.03468562997718172,0.2542016806722689,0.5343511450381679,0.9122448979591836,YBL072C,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YBL071C-B,non_ess
0.12,0.04,4,0.5714285714285714,0.008064516129032258,0.2550670853554096,0.6666666666666666,0.8508064516129032,0.4265402843601896,YBL071W-A,non_ess
0.12,0.04,1,0.25,0.025,0.7344155844155844,1.3222222222222222,0.3603896103896104,1.6936936936936935,YBL071C,non_ess
0.12,0.04,8,2.0,0.025,0.6745833333333333,1.311111111111111,0.346875,1.1891891891891893,YBL070C,non_ess
0.12,0.04,4,1.3333333333333333,0.025,0.7952626262062499,1.2672147995889005,0.17532971295577968,1.0530973451327434,YBL069W,non_ess
0.12,0.04,6,1.5,0.025,0.7107427716849453,2.0,1.0,1.0,YBL068W-A,non_ess
0.12,0.04,2,4.0,0.011224489795918368,0.3137905162064826,0.7225490196078431,0.2693877551020408,0.8825757575757575,YBL068W,non_ess
0.12,0.04,0,0.0,0.004012483281319661,0.11307643102211712,0.677257525083612,0.468568880962996,0.615604186489058,YBL067C,non_ess
0.12,0.04,2,2.0,0.011317469529889728,0.28475312224586746,0.7386363636363636,0.2240278583865351,0.5064766839378239,YBL066C,non_ess
0.12,0.04,2,2.0,0.020348837209302327,0.5679005760614466,0.9418960244648321,0.5552325581395349,1.3193717277486912,YBL065W,non_ess
0.12,0.04,2,0.5,0.025,0.8284462104832583,0.9884113954611298,0.13885350318471334,0.9908256880733946,YBL064C,non_ess
0.12,0.04,4,4.0,0.014692653673163419,0.4129645101113565,1.0330788804071247,0.2620689655172414,0.3524027459954233,YBL063W,non_ess
0.12,0.04,2,2.0,0.007894736842105262,0.2006087981146897,0.32742537313432835,1.0,1.0,YBL062W,non_ess
0.12,0.04,1,0.5,0.010526315789473684,0.2739594083247334,0.7300150829562594,0.15406698564593302,0.9503105590062112,YBL061C,non_ess
0.12,0.04,10,1.6666666666666667,0.015026660203587009,0.4099966441701777,0.9197802197802196,0.11778962675714978,1.205761316872428,YBL060W,non_ess
0.12,0.04,0,0.0,0.0024154589371980675,0.06590486807878111,0.41538461538461535,1.0,0.7801932367149759,YBL059C-A,non_ess
0.12,0.04,0,0.0,0.009230769230769232,0.26138836772983115,0.6158536585365854,0.26,1.7455621301775148,YBL059W,non_ess
0.12,0.04,0,0.0,0.010228166797797013,0.3080662775814085,0.5871956009426551,0.22344610542879625,0.6866197183098591,YBL058W,non_ess
0.12,0.04,8,2.0,0.020766773162939296,0.6285410010649627,0.5525,0.16932907348242812,0.9528301886792452,YBL057C,non_ess
0.12,0.04,0,0.0,0.016358463726884778,0.5450094831673779,1.5185897435897435,0.20483641536273114,1.1875,YBL056W,non_ess
0.12,0.04,11,2.75,0.01910828025477707,0.6005459508644222,1.3823129251700679,0.20382165605095545,1.7578124999999998,YBL055C,non_ess
0.12,0.04,3,4.0,0.013316423589093214,0.42127520188806816,1.0716790027269183,0.1223842739378567,1.1917098445595855,YBL054W,non_ess
